Name,Instance Count,Size (bytes)
java.util.zip.ZipFile$CleanableResource,44,1408
jdk.internal.loader.NativeLibraries,44,1408
java.io.FileCleanable,43,2408
java.util.ImmutableCollections$ListN,42,672
com.sun.management.internal.DiagnosticCommandArgumentInfo[ ],41,1024
com.sun.management.internal.DiagnosticCommandImpl$Wrapper,41,1312
com.sun.management.internal.DiagnosticCommandInfo,41,1968
java.lang.invoke.MethodHandle[ ],39,3472
java.util.PropertyResourceBundle,39,1560
java.util.jar.JarFile,39,2184
org.apache.catalina.webresources.FileResource,39,1872
java.io.RandomAccessFile,38,1216
java.lang.invoke.BoundMethodHandle$Species_LL,38,1520
java.math.BigInteger[ ],38,1184
java.security.Provider$Service,38,2128
java.util.zip.ZipFile$Source,38,3040
java.util.zip.ZipFile$Source$Key,38,912
sun.nio.fs.WindowsFileAttributes,38,2432
com.sun.org.apache.xerces.internal.util.XMLStringBuffer,37,888
com.sun.org.apache.xerces.internal.xni.XMLString,37,888
java.lang.management.ManagementPermission,36,864
java.util.TreeMap,36,1728
jdk.internal.reflect.DelegatingClassLoader,35,2800
com.jprofiler.agent.probe.structures.h,34,1360
org.apache.tomcat.util.res.StringManager,34,816
org.apache.tomcat.util.res.StringManager$1,34,1904
java.security.AccessControlContext,33,1320
jdk.internal.loader.URLClassPath$JarLoader,33,1584
org.apache.tomcat.util.modeler.BaseModelMBean,33,1320
com.jprofiler.agent.probe.structures.MetaDataImpl,32,2560
com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping,32,768
java.io.ObjectStreamField[ ],32,944
java.lang.WeakPairMap$Pair$Weak,32,1280
java.lang.WeakPairMap$Pair$Weak$1,32,1024
jdk.internal.reflect.UnsafeStaticObjectFieldAccessorImpl,32,1024
java.lang.Class$AnnotationData,31,744
java.lang.invoke.VarHandle$AccessMode,31,992
java.lang.reflect.Type[ ],30,664
java.security.Provider$EngineDescription,30,960
java.time.temporal.ChronoField,30,1200
java.time.temporal.ValueRange,30,1440
org.apache.catalina.util.ManifestResource,30,960
java.text.DateFormatSymbols,28,1792
org.apache.catalina.webresources.CachedResource,28,2464
com.jprofiler.agent.util.a.a.b.h,27,2808
com.jprofiler.agent.util.a.a.b.h$m[ ],27,1072
java.util.jar.Attributes,27,432
java.nio.HeapByteBuffer,26,1456
com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference,25,800
com.sun.org.apache.xerces.internal.util.AugmentationsImpl,25,400
com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer,25,800
java.security.Permissions,25,600
java.security.SecureClassLoader$CodeSourceKey,25,400
java.util.concurrent.ConcurrentHashMap$ForwardingNode,25,800
com.sun.jmx.mbeanserver.MXBeanSupport,24,960
com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute,24,1152
java.beans.PropertyChangeSupport,24,576
java.beans.PropertyChangeSupport$PropertyChangeListenerMap,24,384
java.net.InetAddress$InetAddressHolder,24,768
java.util.Date,24,576
java.text.DecimalFormatSymbols,23,2024
short[ ],23,2960
java.lang.RuntimePermission,22,528
java.lang.invoke.MethodHandleImpl$AsVarargsCollector,22,880
sun.reflect.annotation.AnnotationInvocationHandler,22,528
java.util.jar.Manifest,21,504
org.apache.tomcat.util.http.MimeHeaderField,21,504
sun.reflect.generics.tree.FieldTypeSignature[ ],21,360
sun.reflect.generics.tree.FormalTypeParameter[ ],21,352
com.jprofiler.agent.sampler.Sampler$c,20,640
sun.reflect.generics.factory.CoreReflectionFactory,20,480
java.io.FilePermission,19,760
java.lang.Integer[ ],19,1904
java.lang.invoke.Invokers,19,456
java.lang.invoke.VarHandle$AccessDescriptor,19,608
java.net.InetSocketAddress,19,304
java.net.InetSocketAddress$InetSocketAddressHolder,19,456
java.text.DecimalFormat,19,2736
java.text.DigitList,19,760
java.util.concurrent.atomic.AtomicBoolean,19,304
javax.management.StandardMBean,19,456
javax.management.openmbean.ArrayType,19,912
com.jprofiler.agent.probe.g.c,18,2880
com.jprofiler.agent.probe.g.c$1,18,288
com.jprofiler.agent.probe.g.d,18,1008
com.jprofiler.agent.probe.g.d$1,18,432
com.jprofiler.agent.probe.payload.BasePayloadInfo[ ],18,288
com.jprofiler.agent.probe.structures.a,18,432
com.jprofiler.agent.probe.structures.o$a,18,432
com.jprofiler.agent.probe.structures.o$b,18,432
com.jprofiler.agent.probe.structures.o$c,18,432
com.jprofiler.api.agent.probe.ThreadLocalStack,18,288
com.jprofiler.api.agent.probe.ThreadLocalStack$1,18,432
java.io.FilePermissionCollection,18,432
java.lang.Thread,18,6624
java.lang.ThreadLocal,18,288
java.text.DateFormat$Field,18,432
java.text.SimpleDateFormat,18,1152
java.util.GregorianCalendar,18,2016
sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl,18,432
sun.reflect.generics.repository.MethodRepository,18,720
sun.reflect.generics.scope.MethodScope,18,432
sun.reflect.generics.tree.MethodTypeSignature,18,576
sun.reflect.generics.tree.TypeSignature[ ],18,328
sun.util.calendar.Gregorian$Date,18,1728
java.nio.file.attribute.FileTime,17,544
java.security.ProtectionDomain[ ],17,512
java.time.Duration,17,408
sun.nio.ch.OptionKey,17,408
sun.nio.ch.SocketOptionRegistry$RegistryKey,17,408
com.jprofiler.agent.probe.g.a,16,384
com.sun.org.apache.xerces.internal.impl.dtd.XMLSimpleType,16,640
com.sun.proxy.$Proxy1,16,256
java.lang.String[ ][ ],16,2312
java.net.Inet4Address,16,384
java.time.temporal.ChronoUnit,16,512
org.apache.tomcat.util.digester.ArrayStack,16,384
com.jprofiler.agent.util.f,15,360
java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite,15,600
java.util.concurrent.ConcurrentHashMap$KeySetView,15,360
java.util.concurrent.ConcurrentHashMap$ValueIterator,15,840
java.util.concurrent.ConcurrentLinkedQueue$Node,15,360
javax.websocket.CloseReason$CloseCodes,15,360
com.jprofiler.agent.probe.a$1,14,224
com.sun.jmx.mbeanserver.PerInterface,14,560
javax.management.openmbean.OpenMBeanParameterInfoSupport,14,784
